conversationId;issue;conversationStart;emitDate;purpose;userId;participantId;sessionId;value
2d41d777-ab9a-4f4e-a1f0-086ab639c1bc;TNOTRESPONDING_OUT_OF_INTERVAL;2026-04-14T16:14:16.868Z;2026-04-15T16:00:08.215Z;agent;64427958-3638-4d85-83b5-707374c3f0d7;64bd86ad-f4dc-4112-b965-3376c45de099;ccd02c09-b265-495c-8a1a-5e50f3738c75;2903
2d41d777-ab9a-4f4e-a1f0-086ab639c1bc;TNOTRESPONDING_OUT_OF_INTERVAL;2026-04-14T16:14:16.868Z;2026-04-15T16:00:13.744Z;agent;bed86837-c27b-4d2e-b661-bf30a2e36a49;68f4074b-09e3-4d0b-84e1-fbda54db3528;868192a7-90a9-42f3-8734-af99dd7ba6b6;3367
2d41d777-ab9a-4f4e-a1f0-086ab639c1bc;TNOTRESPONDING_OUT_OF_INTERVAL;2026-04-14T16:14:16.868Z;2026-04-15T16:00:21.174Z;agent;2553e1db-937c-4e68-ae53-9e0acc75446b;c9d55626-8632-4f47-ae05-88136d1c0706;03bad17a-26d4-4930-8d8e-ac9460f413da;5304
