conversationId;issue;conversationStart;emitDate;purpose;userId;participantId;sessionId;value
c196b137-b544-4c2b-9588-6ab8b5d62e8a;TNOTRESPONDING_OUT_OF_INTERVAL;2026-04-18T18:21:53.181Z;2026-04-20T21:01:14.468Z;agent;32e24905-8345-44db-8934-f582ac48c92e;0324402e-c952-414d-91ca-e85487efe069;034ade7a-0642-4c18-be45-c53db6490cf9;30231
c196b137-b544-4c2b-9588-6ab8b5d62e8a;TNOTRESPONDING_OUT_OF_INTERVAL;2026-04-18T18:21:53.181Z;2026-04-20T21:01:36.202Z;agent;0f837717-5279-4e2e-9406-d6a56cf6a45c;34d066f9-ac19-43eb-a866-de5390572998;448a2479-e512-4e58-bcf0-20133d319a7f;19539
67826f07-8a51-415f-9701-0db3c259e44c;TNOTRESPONDING_OUT_OF_INTERVAL;2026-04-18T16:14:27.136Z;2026-04-20T20:00:28.567Z;agent;2714a8be-4e97-4aa3-a214-20d51d902325;765b017b-7833-4013-8f51-7d9a1f5370ac;5b7824ac-ec4a-40e1-ae8f-2b0426341ef8;9282
0090331c-43d9-4b8d-b350-18cca8419428;TNOTRESPONDING_OUT_OF_INTERVAL;2026-04-18T15:06:31.011Z;2026-04-20T17:00:44.520Z;agent;0f837717-5279-4e2e-9406-d6a56cf6a45c;6b35f765-ef38-46e5-a9d4-e91d05a1b84b;0551248b-8661-494e-9e97-94cb298675a0;3208
0090331c-43d9-4b8d-b350-18cca8419428;TNOTRESPONDING_OUT_OF_INTERVAL;2026-04-18T15:06:31.011Z;2026-04-20T17:00:50.380Z;agent;64427958-3638-4d85-83b5-707374c3f0d7;655ccdfa-8e87-44e2-bc3b-ffdbab37f9b6;842dab9e-3a10-45f5-a22a-c1b63eb68e3d;3708
0090331c-43d9-4b8d-b350-18cca8419428;TNOTRESPONDING_OUT_OF_INTERVAL;2026-04-18T15:06:31.011Z;2026-04-20T17:00:59.566Z;agent;bed86837-c27b-4d2e-b661-bf30a2e36a49;4321b27d-6385-4fab-9613-6e1154f8f12e;39704658-6c29-4e16-9d9d-772f516a4e69;7072
0090331c-43d9-4b8d-b350-18cca8419428;TNOTRESPONDING_OUT_OF_INTERVAL;2026-04-18T15:06:31.011Z;2026-04-20T17:01:07.821Z;agent;bed86837-c27b-4d2e-b661-bf30a2e36a49;09c78af0-9ab6-4d93-9cd2-9e449420432c;a9ef6726-ef7b-4be6-86d3-12ad2627febf;3325
0090331c-43d9-4b8d-b350-18cca8419428;TNOTRESPONDING_OUT_OF_INTERVAL;2026-04-18T15:06:31.011Z;2026-04-20T17:01:16.950Z;agent;2714a8be-4e97-4aa3-a214-20d51d902325;4bb41d34-ef40-43fb-ab5e-97b5dd0bfbfb;190394f4-c046-4272-a0ec-99164b3d5d74;6937
0090331c-43d9-4b8d-b350-18cca8419428;TNOTRESPONDING_OUT_OF_INTERVAL;2026-04-18T15:06:31.011Z;2026-04-20T17:01:49.385Z;agent;32e24905-8345-44db-8934-f582ac48c92e;a7eeda5c-aaf8-4cca-8b90-4ffb4e2a9361;c6258a75-9def-4693-8246-ec6f75502101;30240
0090331c-43d9-4b8d-b350-18cca8419428;TNOTRESPONDING_OUT_OF_INTERVAL;2026-04-18T15:06:31.011Z;2026-04-20T17:01:57.105Z;agent;2553e1db-937c-4e68-ae53-9e0acc75446b;3f4b27d6-bb51-4d31-8ff8-43d45f300f81;92693add-5670-44a9-b1dd-eb28aa5cd49a;5518
fe907855-9407-44ff-9a7a-a1f7f5300baf;TNOTRESPONDING_OUT_OF_INTERVAL;2026-04-18T14:47:05.672Z;2026-04-20T17:30:44.712Z;agent;0f837717-5279-4e2e-9406-d6a56cf6a45c;c7e75ee2-3518-4e7d-9f19-8db4a65ed3d0;daea559d-f926-4532-b68d-0c857449da7c;13364
fe907855-9407-44ff-9a7a-a1f7f5300baf;TNOTRESPONDING_OUT_OF_INTERVAL;2026-04-18T14:47:05.672Z;2026-04-20T17:30:53.415Z;agent;bed86837-c27b-4d2e-b661-bf30a2e36a49;fccdc57d-b7ea-47c0-bc62-b75b3efee0f1;7221ea46-a333-4cf9-b9f6-99dd5346577c;6535
fe907855-9407-44ff-9a7a-a1f7f5300baf;TNOTRESPONDING_OUT_OF_INTERVAL;2026-04-18T14:47:05.672Z;2026-04-20T17:30:59.547Z;agent;ece75fce-e6f3-462f-988f-509fd09d87f8;d5149c84-4a08-4386-9cd7-cbdaddb2bb1d;81fdfb48-b3f5-4f8a-b804-27ae61be8c08;4016
fe907855-9407-44ff-9a7a-a1f7f5300baf;TNOTRESPONDING_OUT_OF_INTERVAL;2026-04-18T14:47:05.672Z;2026-04-20T17:31:19.527Z;agent;bed86837-c27b-4d2e-b661-bf30a2e36a49;d0ea930e-f68b-4a0e-8a3a-1c358f933b4a;7d5e35e7-02ae-4eab-b238-23026f3ad460;17816
fe907855-9407-44ff-9a7a-a1f7f5300baf;TNOTRESPONDING_OUT_OF_INTERVAL;2026-04-18T14:47:05.672Z;2026-04-20T17:31:25.547Z;agent;bdbe1397-b97f-4985-9a4e-597c747709b6;81490583-ca20-4193-b2d4-edd75c0043bd;ec544b8f-7046-4065-a7b3-45c74b45dfb6;3874
